DOC_REGISTERED|2026-09-07 20:47:31.181521+00
RELEASE_DECISION|2026-09-07 20:47:32.040403+00
ACCESS_DENIED|2026-09-07 20:47:32.042903+00
ACCESS_GRANTED|2026-09-07 20:47:32.517195+00
ACCESS_REVOKED|2026-09-07 20:47:34.599588+00
RELEASE_DECISION|2026-09-07 20:47:34.652687+00
ACCESS_DENIED|2026-09-07 20:47:34.655441+00
RELEASE_DECISION|2026-09-07 20:47:34.681686+00
ACCESS_DENIED|2026-09-07 20:47:34.684322+00
ACCESS_GRANTED_LEDGER_SYNCED|2026-09-07 20:47:48.022431+00
ACCESS_REVOKED_LEDGER_SYNCED|2026-09-07 20:47:50.076078+00
RELEASE_DECISION|2026-09-07 20:47:51.011922+00
ACCESS_DENIED|2026-09-07 20:47:51.0138+00
